# depth[mm]	eDep/nEvents(50MeV)[MeV]	eDep/nEvents(75MeV)[MeV]	eDep/nEvents(100MeV)[MeV]	eDep/nEvents(125MeV)[MeV]	eDep/nEvents(150MeV)[MeV]	eDep/nEvents(175MeV)[MeV]	eDep/nEvents(200MeV)[MeV]
0	1.26686	0.916273	0.736151	0.631597	0.550762	0.49764	0.451184
1	1.30226	0.929771	0.748322	0.63883	0.563789	0.509092	0.467724
2	1.32921	0.941864	0.756487	0.644753	0.565876	0.515417	0.467494
3	1.36155	0.955815	0.761746	0.646097	0.57029	0.513595	0.47407
4	1.39753	0.968694	0.770336	0.650688	0.57129	0.516783	0.472949
5	1.43296	0.980016	0.773288	0.654816	0.575797	0.516223	0.472389
6	1.47046	0.988515	0.77668	0.662847	0.577914	0.522116	0.478179
7	1.51591	1.00091	0.783431	0.661426	0.582591	0.524167	0.480523
8	1.55866	1.01142	0.788671	0.666241	0.583386	0.526406	0.484109
9	1.61007	1.02133	0.794152	0.67029	0.583245	0.526756	0.487343
10	1.65925	1.03387	0.801502	0.670496	0.58531	0.528674	0.487576
11	1.72407	1.04634	0.807505	0.673716	0.591289	0.530694	0.486645
12	1.79754	1.06122	0.810685	0.675081	0.594476	0.530334	0.484285
13	1.88324	1.07446	0.815662	0.679544	0.597402	0.533932	0.48796
14	1.98531	1.08992	0.823234	0.681734	0.595003	0.535571	0.490783
15	2.10422	1.10379	0.827834	0.68336	0.594199	0.539239	0.488848
16	2.25369	1.11938	0.829415	0.687568	0.598878	0.53803	0.49123
17	2.44464	1.12953	0.839337	0.692456	0.603336	0.541317	0.493549
18	2.70913	1.14986	0.843006	0.692781	0.60651	0.544927	0.494745
19	3.09159	1.16578	0.84878	0.694639	0.607223	0.543937	0.493504
20	3.74331	1.18619	0.849674	0.700499	0.607625	0.542979	0.49954
21	5.45532	1.20569	0.858798	0.702473	0.612221	0.543167	0.498879
22	4.35766	1.22558	0.867895	0.707055	0.611648	0.543521	0.499685
23	0.0140057	1.24904	0.872935	0.70801	0.612213	0.544882	0.499442
24	0.000178741	1.26921	0.880949	0.712072	0.611037	0.543164	0.502053
25	0.000185611	1.29323	0.887847	0.712484	0.615241	0.544901	0.501315
26	0.000208825	1.31532	0.89122	0.716918	0.61627	0.545499	0.499686
27	8.52E-05	1.34364	0.896917	0.719585	0.616538	0.547648	0.502697
28	0.000176711	1.37867	0.904158	0.720805	0.620132	0.550945	0.50573
